"id","path","template","h1Count","htmlBytes","authoredIntroAndBlocksChars","questionCount","answersRepeatingBody","externalSourceCount","hasSchemaAuthor","hasSchemaReviewer","hasOpeningHours","hasGeo","bodyDoctorLinks","incomingPages"
"home","/","home","1","76708","78","0","0","0","false","false","false","false","2","44"
"not-found","/404.html","not-found","1","18096","51","0","0","0","false","false","false","false","0","0"
"about","/about/","about","1","37765","135","0","0","0","false","false","false","false","0","44"
"cases","/cases/","case-index","1","63908","190","0","0","0","false","false","false","false","0","2"
"checkups","/checkups/","checkup-index","1","53759","66","0","0","0","false","false","false","false","0","44"
"cancer-screening","/checkups/cancer-screening/","checkup-detail","1","41847","231","3","3","0","false","false","false","false","0","7"
"drug-screening","/checkups/drug-screening/","checkup-detail","1","42200","267","3","3","0","false","false","false","false","0","6"
"employment-checkup","/checkups/employment/","checkup-detail","1","44846","242","3","3","0","false","false","false","false","0","6"
"national-checkup","/checkups/national/","checkup-detail","1","42241","257","3","3","0","false","false","false","false","0","5"
"tuberculosis-screening","/checkups/tuberculosis/","checkup-detail","1","41738","224","3","3","0","false","false","false","false","0","4"
"visa-checkup","/checkups/visa/","checkup-detail","1","41697","236","3","3","0","false","false","false","false","0","4"
"conditions","/conditions/","condition-index","1","46302","71","0","0","0","false","false","false","false","0","9"
"acute-care","/conditions/acute-care/","condition-detail","1","40855","232","3","3","0","false","false","false","false","0","6"
"chronic-cough","/conditions/chronic-cough/","condition-detail","1","40533","254","3","3","0","false","false","false","false","0","3"
"heart-disease","/conditions/heart-disease/","condition-detail","1","41162","244","3","3","0","false","false","false","false","1","5"
"doctors","/doctors/","physician-index","1","37151","58","0","0","0","false","false","false","false","4","44"
"doctor-park-jongseol","/doctors/park-jongseol/","physician-detail","1","41658","40","0","0","0","false","false","false","false","0","6"
"doctor-park-rayoung","/doctors/park-rayoung/","physician-detail","1","39003","41","0","0","0","false","false","false","false","0","4"
"fees","/fees/","fees","1","37498","163","0","0","0","false","false","false","false","0","44"
"health","/health/","article-index","1","44727","59","0","0","0","false","false","false","false","0","44"
"checkup-preparation","/health/checkup-preparation-checklist/","article-detail","1","44357","288","3","3","0","false","false","false","false","0","7"
"colonoscopy-preparation","/health/colonoscopy-preparation-questions/","article-detail","1","46562","289","3","3","1","false","false","false","false","0","6"
"heart-test-differences","/health/heart-test-differences/","article-detail","1","46354","299","3","3","2","false","false","false","false","0","5"
"palpitations-followup","/health/palpitations-test-followup/","article-detail","1","42298","265","3","3","0","false","false","false","false","0","5"
"notices","/notices/","notice-index","1","33931","183","0","0","0","false","false","false","false","0","44"
"privacy","/privacy/","policy","1","33108","221","0","0","1","false","false","false","false","0","44"
"search","/search/","search","1","102296","71","0","0","0","false","false","false","false","2","44"
"services","/services/","service-index","1","58899","66","0","0","0","false","false","false","false","0","44"
"cancer-support","/services/cancer-support/","service-detail","1","39086","248","3","3","0","false","false","false","false","0","5"
"endoscopy","/services/endoscopy/","service-hub","1","45123","65","0","0","0","false","false","false","false","0","12"
"colonoscopy","/services/endoscopy/colonoscopy/","service-detail","1","45731","251","3","3","1","false","false","false","false","0","4"
"gastroscopy","/services/endoscopy/gastroscopy/","service-detail","1","43523","211","3","3","0","false","false","false","false","0","3"
"heart-index","/services/heart/","service-hub","1","55028","71","0","0","0","false","false","false","false","0","13"
"abi","/services/heart/arterial-assessment/","service-detail","1","40829","218","3","3","0","false","false","false","false","0","4"
"cardiac-markers","/services/heart/cardiac-markers/","service-detail","1","40858","274","3","3","0","false","false","false","false","0","3"
"carotid","/services/heart/carotid-ultrasound/","service-detail","1","40645","209","3","3","0","false","false","false","false","0","4"
"echocardiography","/services/heart/echocardiography/","service-detail","1","47096","316","3","3","1","false","false","false","false","1","7"
"hrv","/services/heart/heart-rate-variability/","service-detail","1","41030","237","3","3","0","false","false","false","false","0","3"
"holter","/services/heart/holter/","service-detail","1","44782","290","3","3","1","false","false","false","false","0","7"
"ultrasound-index","/services/ultrasound/","service-hub","1","45439","67","0","0","0","false","false","false","false","0","7"
"abdominal-ultrasound","/services/ultrasound/abdomen/","service-detail","1","42383","228","3","3","0","false","false","false","false","0","4"
"bowel-ultrasound","/services/ultrasound/bowel/","service-detail","1","42508","226","3","3","0","false","false","false","false","0","5"
"thyroid-ultrasound","/services/ultrasound/thyroid/","service-detail","1","39247","217","3","3","0","false","false","false","false","0","3"
"sitemap","/sitemap/","sitemap","1","81344","58","0","0","0","false","false","false","false","2","44"
"visit","/visit/","visit","1","49068","101","0","0","0","false","false","false","false","0","44"
